keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Beijing',en,China,#6F3373,#6F3373,2,7.083263000073374e-07
'China',en,China,#6F3373,#6F3373,2,7.083263000073374e-07
'India',en,India,#EAC04F,#EAC04F,2,7.393074000305872e-07
'New Delhi',en,India,#EAC04F,#EAC04F,2,7.393074000305872e-07
'Washington',en,United States,#B16B50,#B16B50,2,3.0565389341287556e-06
'United States',en,United States,#B16B50,#B16B50,2,3.0565389341287556e-06
'Jakarta',en,Indonesia,#042174,#042174,2,3.7360351442848367e-06
'Indonesia',en,Indonesia,#042174,#042174,2,3.7360351442848367e-06
'Islamabad',en,Pakistan,#938ED3,#938ED3,2,4.712201581575066e-06
'Pakistan',en,Pakistan,#938ED3,#938ED3,2,4.712201581575066e-06
'Brasilia',en,Brazil,#C1A9BE,#C1A9BE,2,4.7739685121353775e-06
'Brazil',en,Brazil,#C1A9BE,#C1A9BE,2,4.7739685121353775e-06
'Nigeria',en,Nigeria,#289E67,#289E67,2,5.105303522036583e-06
'Abuja',en,Nigeria,#289E67,#289E67,2,5.105303522036583e-06
'Bangladesh',en,Bangladesh,#7C5ABF,#7C5ABF,2,6.1974748896754955e-06
'Dhaka',en,Bangladesh,#7C5ABF,#7C5ABF,2,6.1974748896754955e-06
'Moscow',en,Russia,#BF2037,#BF2037,2,6.921466617247395e-06
'Russia',en,Russia,#BF2037,#BF2037,2,6.921466617247395e-06
'Japan',en,Japan,#AF806B,#AF806B,2,7.903320263876056e-06
'Tokyo',en,Japan,#AF806B,#AF806B,2,7.903320263876056e-06
'Mexico',en,Mexico,#F67052,#F67052,2,7.9245087208743e-06
'Mexico City',en,Mexico,#F67052,#F67052,2,7.9245087208743e-06
'Addis Ababa',en,Ethiopia,#ECFB28,#ECFB28,2,9.155450103488172e-06
'Ethiopia',en,Ethiopia,#ECFB28,#ECFB28,2,9.155450103488172e-06
'Philippines',en,Philippines,#B6B6C7,#B6B6C7,2,9.376296097129876e-06
'Manila',en,Philippines,#B6B6C7,#B6B6C7,2,9.376296097129876e-06
'Cairo',en,Egypt,#F4A2DB,#F4A2DB,2,1.0160165354659114e-05
'Egypt',en,Egypt,#F4A2DB,#F4A2DB,2,1.0160165354659114e-05
