index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
0,https://www.sciencealert.com/oldest-air-ever-measured-found-in-ice-from-6-million-years-ago,0,www.sciencealert.com,Oldest Air Ever Measured Found in Ice From 6 Million Years Ago,Ice excavated from deep under the surface of Antarctica has just yielded humanity's oldest directly dated samples of glacial ice and air ever found.,https://www.sciencealert.com/images/2025/10/stripe-ice.jpg,2025-11-01T01:00:37Z,,"Ice excavated from deep under the surface of Antarctica has just yielded humanity's oldest directly dated samples of glacial ice and air ever found.
From beneath hundreds of meters of glacial ice th… [+4412 chars]",,en,'Antarctica'
1,https://www.yahoo.com/news/articles/explorers-seek-ancient-antarctica-ice-065710672.html,0,www.yahoo.com,Explorers seek ancient Antarctica ice in climate change study,"An explorer and a glaciologist have embarked on a three-month mission to cross part of Antarctica on kite skis in search of ice that is 130,000 years old.And...",https://media.zenfs.com/en/afp.com/b157300bb787e711483a17a422977f46,2025-11-01T06:57:10Z,,"An explorer and a glaciologist have embarked on a three-month mission to cross part of Antarctica on kite skis in search of ice that is 130,000 years old.
The goal of the French duo is to better und… [+3935 chars]",,en,'Antarctica'
2,https://timesofindia.indiatimes.com/city/mumbai/from-kabul-to-kolkata-exhibition-traces-rupees-500-year-odyssey/articleshow/125019788.cms,0,timesofindia.indiatimes.com,From Kabul to Kolkata: Exhibition traces rupee’s 500-year odyssey,"In the turquoise middle of the Indian Ocean, on a remote cluster of atolls once called the Cocos-Keeling Islands, a self-styled king printed his own m.","https://static.toiimg.com/thumb/msid-125019787,width-1070,height-580,imgsize-92976,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2025-11-01T16:27:38Z,,"<ul><li>News</li>
<li>From Kabul to Kolkata: Exhibition traces rupees 500-year odyssey</li></ul>
Follow Us On Social Media
'Israel Source Of Instability': Oman Leader Defends Iran, Blames Tel Aviv… [+1550 chars]",,en,'Cocos Islands'
3,https://www.bbc.com/news/articles/c1e34p92q0vo,0,www.bbc.com,Hurricane Melissa death toll rises to 28 in Jamaica,PM Andrew Holness warns of reports of possible fatalities still to be verified - suggesting the figure may yet rise.,https://ichef.bbci.co.uk/news/1024/branded_news/fd15/live/3ad7d090-b7d3-11f0-b2a1-6f537f66f9aa.jpg,2025-11-02T11:37:48Z,,"The number of people killed in Jamaica as a result of Hurricane Melissa has risen to 28, the Caribbean nation's prime minister has announced.
Andrew Holness confirmed nine other deaths on Saturday, … [+2616 chars]",,en,'West Island'
4,https://www.bbc.com/news/articles/cpv11w8ez10o,0,www.bbc.com,'We have no idea what lies ahead': Aid struggles to reach Jamaican towns devastated by hurricane,Jamaicans are struggling to access clean drinking water and food days after Hurricane Melissa hit.,https://ichef.bbci.co.uk/news/1024/branded_news/4a63/live/e0caa6d0-b805-11f0-8f42-c1f60875a777.jpg,2025-11-02T16:11:31Z,http://web.archive.org/web/20251102224812/https://www.bbc.com/news/articles/cpv11w8ez10o,"Brandon Drennonin Westmoreland, Jamaica
A town just outside of Whitehouse in Westmoreland Parish sits in ruins
Five days after Hurricane Melissa pummelled into western Jamaica with record force, re… [+5749 chars]",,en,'Heard Island'
5,https://balloon-juice.com/2025/11/02/war-for-ukraine-day-1347-schrodingers-german-patriots/,0,balloon-juice.com,"War for Ukraine Day 1,347: Schrödinger’s German Patriots",A quick housekeeping note: It’s been a while since I updated you all regarding Rosie. It has now been one year since her final chemo treatment. She still has her monthly check ins with the vet where her lymph nodes are checked and she gets a monoclonal antibo…,https://balloon-juice.com/wp-content/uploads/2020/01/Silverman_On_Security.jpg,2025-11-03T01:52:15Z,,A quick housekeeping note: It’s been a while since I updated you all regarding Rosie. It has now been one year since her final chemo treatment. She still has her monthly check ins with the vet where … [+17397 chars],,en,'French Southern Territories'
6,https://www.snopes.com/fact-check/robot-alien-spiders-atlas-comet/,0,www.snopes.com,Fact Check: False robot alien spider story is invading social media,A social media page that frequently posts fabricated stories about alien life shared another outlandish tale about alien robot spiders in Antarctica.,https://media.zenfs.com/en/snopes_632/2fac3fa3be3e5ba56037ecd4d33aca53,2025-11-03T03:00:00Z,,"Claim:
Scientists discovered robotic alien spiders from interstellar comet 3I/ATLAS on Earth's polar ice sheets in October 2025.
Rating:
In October 2025, a Facebook post (archived) about an unusua… [+3514 chars]",,en,'Antarctica'
7,http://foreignpolicy.com/2025/11/03/quad-indo-pacific-trade-deal/,0,foreignpolicy.com,"The Quad Is Dead, Long Live the Quad","In an increasingly dangerous era, the group’s old patterns of cooperation will not suffice.",https://foreignpolicy.com/wp-content/uploads/2025/11/quad-rubio-GettyImages-2223088303.jpg?w=1000,2025-11-03T05:01:42Z,,"A flurry of summit meetings assembled leaders from the Indo-Pacific last week, from Kuala Lumpur to Tokyo to Gyeongju. But questions linger over one other summit meeting that was planned for this mon… [+12452 chars]",,en,'Kuala Lumpur'
8,https://www.npr.org/2025/11/03/g-s1-95310/japan-population-decline-gender-inequality,0,www.npr.org,Gender inequality accelerates Japan's rural depopulation,"Akita Prefecture has Japan's most aged population, lowest birthrate and fastest declining population. Rigid gender roles are prompting young women to leave rural areas like this for opportunities elsewhere.",https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6000x3375+0+47/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F1b%2Fe1%2F6d019ef847468a3eee882c75c922%2F5577668-kuhn-9.JPG,2025-11-03T10:03:00Z,,Families in the U.S. and around the world are having fewer children as people make profoundly different decisions about their lives. NPR's series Population Shift: How Smaller Families Are Changing t… [+6761 chars],,en,'West Island'
9,https://www.nakedcapitalism.com/2025/11/links-11-3-2025.html,0,www.nakedcapitalism.com,Links 11/3/2025,Daily links. Gabbard: US done with regime change. New regime change threat in Nigeria. ICE ‘losing’ detainees. Gaza and Fallujah on US streets. AI too big to fail.,https://www.nakedcapitalism.com/wp-content/uploads/2025/11/Screenshot-2025-11-03-at-12.11.42 AM-1024x676.png,2025-11-03T11:55:25Z,,"An emperor for all seasons Aeon
A deadly history haunts this imperiled California lighthouse. Heres why fans want to save it Los Angeles Times
That tiny blue dot is a whale navigating busy ship tra… [+8382 chars]",,en,'Nigeria'
