domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.bbc.com,0.08271983225108225,0.23564238511380653,0.46411458333333333,0.27115173533351394,24.0
www.theverge.com,0.1530040666404303,0.12420505423982398,0.4431069351523897,0.15455792815263958,11.0
www.aljazeera.com,0.06251541387905024,0.14277836815084752,0.39100550964187325,0.16241380418201964,11.0
www.catholicnewsagency.com,0.04403030303030303,0.15314164366422744,0.30983838383838386,0.1396030893236948,10.0
www.yahoo.com,0.026455828122494782,0.1374140717257603,0.2940949174282508,0.21026505161444328,9.0
www.npr.org,0.12255621693121693,0.10324193292900706,0.3077513227513228,0.18903021373505222,8.0
www.cbc.ca,0.06692708333333333,0.15083011159538648,0.31769593253968254,0.15803625197502738,8.0
www.cbsnews.com,0.08048855905998763,0.1422424040283821,0.2719800041228613,0.2068541485518256,7.0
onefootball.com,0.35714285714285715,0.11338934190276817,0.42857142857142855,0.07559289460184543,7.0
www.forbes.com,0.1639023569023569,0.14578708153398356,0.4749276094276094,0.23593942424645845,6.0
gizmodo.com,0.18531493506493507,0.14874648922724054,0.4944069264069264,0.16792927523276244,5.0
www.sciencedaily.com,0.11090909090909092,0.09486558207523238,0.4983378427128427,0.12349922284332226,5.0
www.businessinsider.com,0.12707070707070706,0.18236951691532383,0.4188600288600289,0.13285012347745734,5.0
www.abc.net.au,-0.01952182539682539,0.07051294770776602,0.4312321428571428,0.19250000414126683,5.0
timesofindia.indiatimes.com,0.2959047619047619,0.44960799252101324,0.47444444444444445,0.34717999743257666,5.0
abcnews.go.com,0.026818181818181817,0.11740830781423287,0.23072727272727273,0.15491686653553927,5.0
deadline.com,0.16660339660339663,0.19976820298240522,0.3529270729270729,0.24030340440782233,5.0
freerepublic.com,-0.03125,0.0782845592835664,0.14583333333333334,0.11656741810198495,4.0
phys.org,0.011497655122655123,0.05879987084177563,0.44022928691678687,0.056410238246144113,4.0
biztoc.com,-0.11125000000000004,0.17750000000000002,0.3958333333333333,0.1916666666666667,4.0
www.independent.ie,0.19142992424242422,0.11402494326472752,0.5946164772727273,0.15818956758366695,4.0
variety.com,0.18487654320987654,0.08207033295836916,0.3909722222222222,0.14907605099908397,3.0
www.vanityfair.com,0.09244191554797615,0.17460676510295484,0.480017891760316,0.1421401196634708,3.0
www.irishtimes.com,0.08173716329966331,0.10902207572020736,0.29869528619528624,0.21979543006341348,3.0
everything-everywhere.com,0.24555555555555555,0.42098209691853394,0.4977777777777777,0.4088783211194762,3.0
theconversation.com,0.09575757575757578,0.2697800348758797,0.3636363636363636,0.0755803988757328,3.0
foreignpolicy.com,0.028376623376623382,0.18935768607878717,0.3842640692640693,0.030671904534585386,2.0
