,phrase,label,sentiment,subjectivity,language,count
US,US,GPE,0.2690789473684211,0.32960526315789473,en,19
Earth,Earth,LOC,0.042828798185941055,0.2475340136054422,en,14
Czech Republic,Czech Republic,GPE,0.39999999999999997,0.39999999999999997,en,12
Caribbean,Caribbean,LOC,-0.00992063492063492,0.2551587301587301,en,12
Hollywood,Hollywood,GPE,0.22066326530612246,0.2863945578231292,en,7
UK,UK,GPE,0.09936224489795918,0.2489795918367347,en,7
Florida,Florida,GPE,0.28750000000000003,0.3083333333333333,en,6
Gaza,Gaza,GPE,0.041666666666666664,0.06597222222222222,en,6
VATICAN CITY,VATICAN CITY,GPE,0.14253246753246754,0.29820346320346325,en,5
Atlantic,Atlantic,LOC,-0.02083333333333333,0.5791666666666666,en,4
San Francisco,San Francisco,GPE,0.3474358974358974,0.45480769230769225,en,4
the James Bay,the James Bay,LOC,0.0,0.0,en,4
Chicago,Chicago,GPE,0.03125,0.15416666666666667,en,4
Auckland,Auckland,GPE,0.3348484848484848,0.3606060606060606,en,3
Patagonia,Patagonia,GPE,-0.031944444444444435,0.25925925925925924,en,3
Arctic,Arctic,LOC,0.09303030303030302,0.6784343434343434,en,3
Overseas Territories,Overseas Territories,LOC,0.18392857142857144,0.2714285714285714,en,2
Baltimore,Baltimore,GPE,0.022727272727272724,0.14242424242424243,en,2
Dozulé,Dozulé,GPE,0.09999999999999999,0.31666666666666665,en,2
Zika,Zika,GPE,-0.03333333333333333,0.11777777777777779,en,2
the North Siders,the North Siders,LOC,0.1388888888888889,0.25,en,2
Maryland,Maryland,GPE,0.022727272727272724,0.14242424242424243,en,2
CUBA,CUBA,GPE,0.15714285714285714,0.38928571428571423,en,2
D.C.,D.C.,GPE,0.0,0.0,en,2
Fumarole Bay,Fumarole Bay,LOC,-0.15555555555555559,0.2888888888888889,en,2
U.K.,U.K.,GPE,0.0962962962962963,0.2666666666666667,en,2
Romas,Romas,GPE,0.0962962962962963,0.2666666666666667,en,2
Chivirico,Chivirico,GPE,0.1,0.35,en,2
Black River,Black River,LOC,0.020000000000000007,0.41,en,2
Detroit,Detroit,GPE,0.18333333333333335,0.35000000000000003,en,2
Deception Island,Deception Island,GPE,-0.15555555555555559,0.2888888888888889,en,2
the South Pole,the South Pole,LOC,0.20625,0.39479166666666665,en,2
Mallorca,Mallorca,GPE,0.0,0.016666666666666666,en,2
Valley of Ashes,Valley of Ashes,GPE,0.3615384615384616,0.5096153846153846,en,2
Kolkata,Kolkata,GPE,0.06666666666666667,0.15833333333333333,en,2
The Hektoria Glacier,The Hektoria Glacier,LOC,-0.13333333333333333,0.2833333333333333,en,2
the Allan Hills,the Allan Hills,LOC,0.01785714285714286,0.15357142857142855,en,2
Dubai,Dubai,GPE,0.125,0.475,en,2
Asia,Asia,LOC,0.0,0.0,en,2
the Kerguelen Plateau,the Kerguelen Plateau,LOC,0.0,0.3333333333333333,en,2
May.,May.,GPE,0.125,0.21666666666666667,en,1
turkey,turkey,GPE,0.0,0.25,en,1
Suho,Suho,GPE,0.13636363636363635,0.45454545454545453,en,1
JAKARTA,JAKARTA,GPE,0.16,0.5399999999999999,en,1
Latin America’s,Latin America’s,LOC,0.0,0.0,en,1
the Pamir peaks,the Pamir peaks,LOC,0.33,0.52,en,1
Mount Lewotobi,Mount Lewotobi,GPE,0.16,0.5399999999999999,en,1
ROME,ROME,GPE,-0.03333333333333333,0.3666666666666667,en,1
Piazza San Pietro,Piazza San Pietro,GPE,0.0,0.0,en,1
DC,DC,GPE,0.0,0.0,en,1
BRIDGETOWN,BRIDGETOWN,GPE,0.0,0.0,en,1
Latin America,Latin America,LOC,0.0,0.5,en,1
Latin America's,Latin America's,LOC,0.0,0.5,en,1
the High Seas,the High Seas,LOC,0.08,0.26999999999999996,en,1
the South West Pacific region,the South West Pacific region,LOC,0.06818181818181818,0.4772727272727273,en,1
the Eastern Antarctic Peninsula,the Eastern Antarctic Peninsula,LOC,0.08750000000000001,0.26666666666666666,en,1
Ulster Wildlife,Ulster Wildlife,LOC,-0.21875,0.5,en,1
Europe,Europe,LOC,0.0,0.0,en,1
Dozule,Dozule,GPE,0.4,0.5,en,1
Minji,Minji,GPE,0.0,0.0,en,1
Kerala,Kerala,GPE,0.0,0.0,en,1
Kochi,Kochi,GPE,0.0,0.0,en,1
Vallarpadam,Vallarpadam,GPE,0.0,0.0,en,1
Basilica,Basilica,LOC,0.0,0.0,en,1
Churchs,Churchs,GPE,0.0,0.0,en,1
St. Peter's,St. Peter's,GPE,0.02500000000000001,0.25,en,1
Palestine,Palestine,GPE,-0.5,0.5,en,1
BLACK RIVER,BLACK RIVER,LOC,0.020000000000000007,0.41,en,1
Ulsan,Ulsan,GPE,0.0,0.0,en,1
