,phrase,label,sentiment,subjectivity,language,count
Vatican,Vatican,ORG,0.11792929292929291,0.3419191919191919,en,11
the Catholic Church,the Catholic Church,ORG,0.09522486772486771,0.17825396825396825,en,6
Doc Stories,Doc Stories,ORG,0.29999999999999993,0.24,en,5
Swiss Guard,Swiss Guard,ORG,-0.04166666666666667,0.20833333333333334,en,4
Cubs,Cubs,ORG,0.037037037037037035,0.06666666666666667,en,3
The Chicago White Sox,The Chicago White Sox,ORG,0.05555555555555555,0.09999999999999999,en,2
Lufthansa,Lufthansa,ORG,0.38541666666666663,0.2,en,2
the Swiss Guard,the Swiss Guard,ORG,-0.05,0.025,en,2
SFFILM,SFFILM,ORG,0.3333333333333333,0.19999999999999998,en,2
AP,AP,ORG,-0.006666666666666663,0.18333333333333335,en,2
the Canadian Museum of Nature,the Canadian Museum of Nature,ORG,-0.06045454545454546,0.24931818181818183,en,2
AccuWeather,AccuWeather,ORG,-0.18285714285714286,0.2714285714285714,en,2
H5N1,H5N1,ORG,-0.011666666666666669,0.14875,en,2
their State Visit to the Holy See,their State Visit to the Holy See,ORG,0.0,0.0,en,2
ACI Prensa Staff,ACI Prensa Staff,ORG,0.049999999999999996,0.15833333333333333,en,2
USCCB,USCCB,ORG,0.04545454545454545,0.14242424242424243,en,2
Ador,Ador,ORG,0.1,0.0,en,1
Pontifical Lateran University,Pontifical Lateran University,ORG,0.0,0.0,en,1
Reuters,Reuters,ORG,0.053571428571428575,0.0,en,1
General Audience,General Audience,ORG,0.02500000000000001,0.0,en,1
ANSA/FABIO FRUSTACI,ANSA/FABIO FRUSTACI,ORG,0.0,0.0,en,1
The Pontifical Lateran University,The Pontifical Lateran University,ORG,0.0,0.0,en,1
ANSA,ANSA,ORG,0.0,0.0,en,1
calu777/flickr,calu777/flickr,ORG,0.0,0.0,en,1
un,un,ORG,0.0,0.0,en,1
oppure scegliere,oppure scegliere,ORG,0.0,0.0,en,1
Family Sciences,Family Sciences,ORG,0.0,0.0,en,1
Catholic Univeristy of America,Catholic Univeristy of America,ORG,0.0,0.0,en,1
The Catholic University of America,The Catholic University of America,ORG,0.0,0.0,en,1
Church,Church,ORG,0.0,0.0,en,1
Weekly Edit,Weekly Edit,ORG,0.5,0.0,en,1
Hybe,Hybe,ORG,0.1,0.0,en,1
Lateran University,Lateran University,ORG,0.0,0.0,en,1
Hybesaid,Hybesaid,ORG,0.0,0.0,en,1
Instagram,Instagram,ORG,0.5,0.0,en,1
Catholic American,Catholic American,ORG,0.05,0.0,en,1
null / Credit,null / Credit,ORG,0.0,0.0,en,1
"Pitchfork, Adoran","Pitchfork, Adoran",ORG,0.0,0.0,en,1
The United States Conference of Catholic Bishops,The United States Conference of Catholic Bishops,ORG,0.04545454545454545,0.0,en,1
Landmark Paris Agreement,Landmark Paris Agreement,ORG,-0.30000000000000004,0.0,en,1
NewJeans,NewJeans,ORG,0.1,0.0,en,1
Healthcare AI News,Healthcare AI News,ORG,0.0,0.0,en,1
/ Credit: Congregation of the Teresian,/ Credit: Congregation of the Teresian,ORG,0.0,0.0,en,1
First American,First American,ORG,0.3375,0.0,,1
joshimerbin/Shutterstock,joshimerbin/Shutterstock,ORG,0.0,0.0,en,1
NPR,NPR,ORG,0.0,0.0,en,1
AFC Champions League Two - Macarthur FC,AFC Champions League Two - Macarthur FC,ORG,0.0,0.0,en,1
Special Political and Decolonisation Fourth Committee,Special Political and Decolonisation Fourth Committee,ORG,0.10178571428571428,0.0,en,1
Mother Jones,Mother Jones,ORG,-0.29000000000000004,0.0,en,1
First Wap’s,First Wap’s,ORG,-0.29000000000000004,0.0,en,1
First Wap,First Wap,ORG,0.25,0.0,en,1
Trackhouse Racing,Trackhouse Racing,ORG,0.25,0.0,en,1
Imagination Defined America’s Grandest Hotels,Imagination Defined America’s Grandest Hotels,ORG,0.0,0.0,en,1
Can’t-Miss Experiences,Can’t-Miss Experiences,ORG,0.0,0.0,en,1
UN,UN,ORG,0.10178571428571428,0.0,en,1
White House,White House,ORG,0.0,0.0,en,1
the General Assembly,the General Assembly,ORG,0.10178571428571428,0.0,en,1
the UN Fourth Committee,the UN Fourth Committee,ORG,0.125,0.0,en,1
Water Brothers & Wildlands League,Water Brothers & Wildlands League,ORG,0.0,0.0,en,1
RPG,RPG,ORG,0.7,0.0,en,1
Squires,Squires,ORG,0.0,0.0,en,1
Final Fantasy Tactics',Final Fantasy Tactics',ORG,0.5,0.0,en,1
Vatican Museums,Vatican Museums,ORG,0.0,0.0,en,1
CBC News,CBC News,ORG,0.19999999999999998,0.0,en,1
the Canadian Catholic Church,the Canadian Catholic Church,ORG,0.19999999999999998,0.0,en,1
the Canadian Conference of Catholic Bishops,the Canadian Conference of Catholic Bishops,ORG,0.19999999999999998,0.0,en,1
Royal Australian Air Force,Royal Australian Air Force,ORG,0.075,0.0,en,1
Defence Media21,Defence Media21,ORG,0.075,0.0,en,1
the Sistine Chapel,the Sistine Chapel,ORG,0.0,0.0,en,1
Climate Desk,Climate Desk,ORG,0.375,0.0,en,1
Melissa,Melissa,ORG,0.0625,0.0,en,1
Paris Masters TV,Paris Masters TV,ORG,0.2,0.0,en,1
First Nations,First Nations,ORG,0.26785714285714285,0.0,en,1
Seychelles,Seychelles,ORG,0.0,0.0,en,1
National Geographic Traveller,National Geographic Traveller,ORG,0.0,0.0,en,1
The Solidarity of the Hopeful,The Solidarity of the Hopeful,ORG,0.0,0.0,en,1
Los Angeles Times,Los Angeles Times,ORG,0.03333333333333333,0.0,en,1
AFC Champions League,AFC Champions League,ORG,0.0,0.0,en,1
AFC Champions League Elite - Vissel Kobe,AFC Champions League Elite - Vissel Kobe,ORG,0.0,0.0,en,1
Fellini,Fellini,ORG,0.0,0.0,en,1
