topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Anguilla,1.2068432687966126,1.0,0.6733842045029693,1.0,1.0
Antarctica,0.001608676517996999,0.7124178159456732,0.3128886471991458,0.5875511362822404,35.0
Australia,-0.18730112927360493,0.8102982826916988,-0.34674711074223463,0.7565247688690842,7.0
Barbados,0.0,1.0,0.0,1.0,1.0
Brazil,0.8788289355560401,1.0,0.7699144059653766,1.0,1.0
Canada,-0.1372422591404652,0.5466431764703811,-0.05724018596508084,1.1767869743722568,6.0
China,-0.12817406700047698,0.4070948858828009,-0.3210423291632601,0.6444793591383896,6.0
Christmas Island,0.23049016354549726,0.6718178678814878,0.30396888447189624,0.8938102268512983,8.0
Cocos Islands,0.006837289215293462,0.7765318790697728,0.21652114698175706,0.5838294107507075,18.0
Costa Rica,0.6721842046118752,1.0,0.6928734399494063,1.0,1.0
Cyprus,-2.267786838055363,1.0,2.267786838055364,1.0,1.0
Dominican Republic,-1.3568903517727644,1.0,0.8603668616478853,1.0,1.0
Estonia,-1.0793211593099457,1.0,-0.8338398738260066,1.0,1.0
France,-0.04978581631260839,0.5143546421152728,-0.14097203436500758,0.7809180668504303,6.0
French Southern Territories,0.4476060192436631,0.522607438419098,0.3731864642261793,0.7069811628502743,8.0
Georgia,-0.95139834095272,1.0,-0.581842596837871,1.0,1.0
Ghana,0.9538027458566191,1.0,0.25533821091651604,1.0,1.0
Greenland,0.37796447300922736,1.0,-0.3779644730092267,1.0,1.0
Guam,-0.3457523648178384,1.0,-0.36142238447167846,1.0,1.0
Heard Island and McDonald Islands,0.11004883976664803,0.6587285485159476,-0.1124891714128509,0.795739851998741,10.0
Iceland,0.6589795558184164,0.5142908491875741,0.9268594191154376,0.6945892592997555,5.0
Indonesia,-0.38429305570214284,0.47904891253505283,0.5262055781028062,0.046818092974358225,3.0
Ireland,-0.17750397731308198,0.6129693117672607,-0.0388778110440397,0.7482803067098334,4.0
Israel,-0.05892857142857143,0.09343911037107949,0.4995748299319728,0.17737797657315602,2.0
Italy,-0.3360380999567924,0.8634171581349988,0.03393724147222091,0.6963098394975448,4.0
Jamaica,0.08620056493752756,0.9491390952351522,0.43636284443587303,0.9744027863152046,10.0
Japan,-0.21109323165384122,0.859120669033229,0.6618727975022337,1.3469323666095108,3.0
Jersey,-0.25575197095301255,1.0,-0.7751150118648725,1.0,1.0
Lithuania,0.19965034965034967,1.0,0.40909090909090906,1.0,1.0
Malaysia,-0.7071067811865475,1.0,0.7071067811865461,1.0,1.0
Montserrat,3.892679015729303,1.0,1.9763303967335224,1.0,1.0
New Zealand,-0.2862806633205465,0.5951380032869173,0.744462481502369,0.05282893801856751,2.0
Nigeria,-0.7071067811865475,1.0,-0.7071067811865476,1.0,1.0
Pakistan,0.04234006734006733,1.0,0.2186026936026936,1.0,1.0
Peru,0.7071067811865475,1.0,-0.7071067811865479,1.0,1.0
Philippines,-0.05430450857201141,1.5329099743018726,0.6065882169198211,0.2570777284096999,2.0
Pitcairn,0.04376732892702793,0.3353104091349919,0.3216307178581153,0.3715861632089765,4.0
Portugal,0.08029304247240066,1.510613449009984,-0.2521165577018855,1.6339139114020416,2.0
Republic of the Congo,-0.45240935110049707,1.0,-0.5361704069426905,1.0,1.0
Russia,-0.7071067811865476,1.0,-0.7071067811865474,1.0,1.0
Saint Pierre and Miquelon,0.37796447300922736,0.0,-0.3779644730092267,0.0,2.0
South Africa,-0.1,1.0,0.1,1.0,1.0
South Georgia and the South Sandwich Islands,0.14285714285714285,1.0,0.28214285714285714,1.0,1.0
South Korea,0.17880163318159892,0.37812943517859054,0.06863326877076484,0.5913134467588717,4.0
Spain,-0.13885376450963932,1.0,-0.23645278631343794,1.0,1.0
Switzerland,0.34375,0.2209708691207961,0.37604166666666666,0.060398704226350956,2.0
Tajikistan,0.24938775510204078,1.0,0.36081632653061224,1.0,1.0
Tokelau,0.40980878457365644,1.0,0.7306122291802438,1.0,1.0
Ukraine,0.16666666666666669,1.0,0.196969696969697,1.0,1.0
United States,0.0632259140826444,0.5855849712683835,0.011660107767047952,0.8370688618757487,26.0
United States Minor Outlying Islands,0.7071067811865475,1.0,0.7071067811865475,1.0,1.0
Vatican,-0.004901601688392504,0.7689374932164911,-0.003699923639840481,0.8455728019678292,66.0
Venezuela,-0.4994715582425598,0.4340860923078041,-1.0385845715726296,0.5092612214501934,2.0
