keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'South Georgia and the South Sandwich Islands',en,South Georgia and the South Sandwich Islands,#42204F,#42204F,2,33.333333333333
'Grytviken',en,South Georgia and the South Sandwich Islands,#42204F,#42204F,1,28.333333348333
'Adamstown',en,Pitcairn,#CE98C5,#CE98C5,2,21.739130434783
'Pitcairn',en,Pitcairn,#CE98C5,#CE98C5,2,21.739130434783
'Port-aux-Francais',en,French Southern Territories,#AB41C2,#AB41C2,2,7.142857142857
'French Southern Territories',en,French Southern Territories,#AB41C2,#AB41C2,2,7.142857142857
'Cocos Islands',en,Cocos Islands,#465C29,#465C29,2,1.592356687898
'West Island',en,Cocos Islands,#465C29,#465C29,2,1.592356687898
'Vatican',en,Vatican,#8927E3,#8927E3,2,1.085776330076
'Vatican City',en,Vatican,#8927E3,#8927E3,2,1.085776330076
'Heard Island and McDonald Islands',en,Heard Island and McDonald Islands,#3CE31C,#3CE31C,2,0.990000000000
'Antarctica',en,Antarctica,#0B439C,#0B439C,2,0.990000000000
'Bouvet Island',en,Bouvet Island,#818C74,#818C74,2,0.990000000000
'United States Minor Outlying Islands',en,United States Minor Outlying Islands,#530FDA,#530FDA,2,0.990000000000
'Tokelau',en,Tokelau,#0227FF,#0227FF,2,0.682128240109
'Christmas Island',en,Christmas Island,#C485B6,#C485B6,2,0.666666666667
'Flying Fish Cove',en,Christmas Island,#C485B6,#C485B6,2,0.666666666667
'Norfolk Island',en,Norfolk Island,#2512CF,#2512CF,2,0.547045951860
'Niue',en,Niue,#BA26A9,#BA26A9,2,0.461680517082
'Alofi',en,Niue,#BA26A9,#BA26A9,2,0.461680517082
'Longyearbyen',en,Svalbard and Jan Mayen,#98426B,#98426B,2,0.392156862745
'Svalbard and Jan Mayen',en,Svalbard and Jan Mayen,#98426B,#98426B,2,0.392156862745
'Falkland Islands',en,Falkland Islands,#FB775B,#FB775B,2,0.379075056861
'Stanley',en,Falkland Islands,#FB775B,#FB775B,2,0.379075056861
'Diego Garcia',en,British Indian Ocean Territory,#199F55,#199F55,2,0.250000000000
'British Indian Ocean Territory',en,British Indian Ocean Territory,#199F55,#199F55,2,0.250000000000
'Saint Pierre and Miquelon',en,Saint Pierre and Miquelon,#1FCE43,#1FCE43,2,0.142612664005
'Saint-Pierre',en,Saint Pierre and Miquelon,#1FCE43,#1FCE43,2,0.142612664005
'Saint Helena',en,Saint Helena,#180A5A,#180A5A,2,0.134048257373
'Jamestown',en,Saint Helena,#180A5A,#180A5A,2,0.134048257373
'Saint Barthelemy',en,Saint Barthelemy,#078285,#078285,2,0.118343195266
'Gustavia',en,Saint Barthelemy,#078285,#078285,2,0.118343195266
'Montserrat',en,Montserrat,#142B61,#142B61,2,0.107054919174
'Plymouth',en,Montserrat,#142B61,#142B61,2,0.107054919174
'Funafuti',en,Tuvalu,#72215B,#72215B,2,0.086896072298
'Tuvalu',en,Tuvalu,#72215B,#72215B,2,0.086896072298
'Yaren',en,Nauru,#C0480D,#C0480D,2,0.078715365239
'Nauru',en,Nauru,#C0480D,#C0480D,2,0.078715365239
'Anguilla',en,Anguilla,#E8E575,#E8E575,2,0.075448921080
'The Valley',en,Anguilla,#E8E575,#E8E575,2,0.075448921080
'Mata Utu',en,Wallis and Futuna,#E78D30,#E78D30,2,0.062402496100
'Wallis and Futuna',en,Wallis and Futuna,#E78D30,#E78D30,2,0.062402496100
'Melekeok',en,Palau,#814DAD,#814DAD,2,0.055844083319
'Palau',en,Palau,#814DAD,#814DAD,2,0.055844083319
'nan',en,Bonaire; Saint Eustatius and Saba ,#296404,#296404,2,0.055518543193
'Bonaire; Saint Eustatius and Saba',en,Bonaire; Saint Eustatius and Saba ,#296404,#296404,2,0.055518543193
